P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.340055,0.331855,0.32809,1,1.01,999999,0,0,0,0,0,0.01,100000,500
0.33501333,0.32910332,0.33588332,1,1.01,999999,1,0,0,0,0,0.01,100000,500
0.32891333,0.32815832,0.34292832,1,1.01,999999,2,0,0,0,0,0.01,100000,500
0.32927832,0.32377833,0.34694332,1,1.01,999999,3,0,0,0,0,0.01,100000,500
0.32721,0.319145,0.353645,1,1.01,999999,4,0,0,0,0,0.01,100000,500
0.326215,0.31786,0.355925,1,1.01,999999,5,0,0,0,0,0.01,100000,500
0.32591835,0.31643835,0.35764334,1,1.01,999999,6,0,0,0,0,0.01,100000,500
0.32370168,0.31775168,0.35854667,1,1.01,999999,7,0,0,0,0,0.01,100000,500
0.32300666,0.31497666,0.36201668,1,1.01,999999,8,0,0,0,0,0.01,100000,500
0.32349,0.3132,0.36331,1,1.01,999999,9,0,0,0,0,0.01,100000,500
0.32339665,0.31239668,0.36420667,1,1.01,999999,10,0,0,0,0,0.01,100000,500
0.31914,0.31321,0.36765,1,1.01,999999,11,0,0,0,0,0.01,100000,500
0.31726167,0.31263667,0.37010166,1,1.01,999999,12,0,0,0,0,0.01,100000,500
0.31819665,0.31152168,0.37028167,1,1.01,999999,13,0,0,0,0,0.01,100000,500
0.31934667,0.31030166,0.37035167,1,1.01,999999,14,0,0,0,0,0.01,100000,500
0.31414,0.31163,0.37423,1,1.01,999999,15,0,0,0,0,0.01,100000,500
0.31795335,0.31113333,0.37091333,1,1.01,999999,16,0,0,0,0,0.01,100000,500
0.31685334,0.31104332,0.37210333,1,1.01,999999,17,0,0,0,0,0.01,100000,500
0.31748167,0.30978167,0.37273666,1,1.01,999999,18,0,0,0,0,0.01,100000,500
0.31524166,0.30862167,0.37613666,1,1.01,999999,19,0,0,0,0,0.01,100000,500
0.31776667,0.30619165,0.37604168,1,1.01,999999,20,0,0,0,0,0.01,100000,500
0.34443167,0.32805166,0.32751667,1,1.02,999999,0,0,0,0,0,0.01,100000,500
0.338875,0.32328,0.337845,1,1.02,999999,1,0,0,0,0,0.01,100000,500
0.33816665,0.32165167,0.34018168,1,1.02,999999,2,0,0,0,0,0.01,100000,500
0.33526167,0.32276165,0.34197667,1,1.02,999999,3,0,0,0,0,0.01,100000,500
0.33200666,0.32097667,0.34701666,1,1.02,999999,4,0,0,0,0,0.01,100000,500
0.33212835,0.31456333,0.35330832,1,1.02,999999,5,0,0,0,0,0.01,100000,500
0.33037665,0.31499165,0.35463166,1,1.02,999999,6,0,0,0,0,0.01,100000,500
0.32958832,0.31500334,0.35540834,1,1.02,999999,7,0,0,0,0,0.01,100000,500
0.33188668,0.31225166,0.35586166,1,1.02,999999,8,0,0,0,0,0.01,100000,500
0.326005,0.31047,0.363525,1,1.02,999999,9,0,0,0,0,0.01,100000,500
0.32658833,0.31019834,0.36321333,1,1.02,999999,10,0,0,0,0,0.01,100000,500
0.32546666,0.31039667,0.36413667,1,1.02,999999,11,0,0,0,0,0.01,100000,500
0.32468668,0.30828667,0.36702666,1,1.02,999999,12,0,0,0,0,0.01,100000,500
0.32428667,0.30842668,0.36728665,1,1.02,999999,13,0,0,0,0,0.01,100000,500
0.32283333,0.30932835,0.36783832,1,1.02,999999,14,0,0,0,0,0.01,100000,500
0.3226,0.307015,0.370385,1,1.02,999999,15,0,0,0,0,0.01,100000,500
0.32095,0.3077,0.37135,1,1.02,999999,16,0,0,0,0,0.01,100000,500
0.31999335,0.30466834,0.37533835,1,1.02,999999,17,0,0,0,0,0.01,100000,500
0.32374668,0.30542168,0.37083167,1,1.02,999999,18,0,0,0,0,0.01,100000,500
0.32178667,0.30635166,0.37186167,1,1.02,999999,19,0,0,0,0,0.01,100000,500
0.32071334,0.30545333,0.37383333,1,1.02,999999,20,0,0,0,0,0.01,100000,500
0.347285,0.3255,0.327215,1,1.03,999999,0,0,0,0,0,0.01,100000,500
0.34729168,0.31974667,0.33296168,1,1.03,999999,1,0,0,0,0,0.01,100000,500
0.33995667,0.32314667,0.33689666,1,1.03,999999,2,0,0,0,0,0.01,100000,500
0.33773667,0.31952667,0.34273666,1,1.03,999999,3,0,0,0,0,0.01,100000,500
0.33905,0.315625,0.345325,1,1.03,999999,4,0,0,0,0,0.01,100000,500
0.338625,0.3136,0.347775,1,1.03,999999,5,0,0,0,0,0.01,100000,500
0.33580667,0.31258166,0.35161167,1,1.03,999999,6,0,0,0,0,0.01,100000,500
0.33373332,0.31129834,0.35496834,1,1.03,999999,7,0,0,0,0,0.01,100000,500
0.334055,0.3073,0.358645,1,1.03,999999,8,0,0,0,0,0.01,100000,500
0.3329,0.30772,0.35938,1,1.03,999999,9,0,0,0,0,0.01,100000,500
0.32843667,0.31011668,0.36144668,1,1.03,999999,10,0,0,0,0,0.01,100000,500
0.33276832,0.30454335,0.36268833,1,1.03,999999,11,0,0,0,0,0.01,100000,500
0.33018,0.306425,0.363395,1,1.03,999999,12,0,0,0,0,0.01,100000,500
0.33070832,0.30296832,0.36632332,1,1.03,999999,13,0,0,0,0,0.01,100000,500
0.32822666,0.30486667,0.36690667,1,1.03,999999,14,0,0,0,0,0.01,100000,500
0.3265,0.3057,0.3678,1,1.03,999999,15,0,0,0,0,0.01,100000,500
0.32735834,0.30253834,0.37010333,1,1.03,999999,16,0,0,0,0,0.01,100000,500
0.32707334,0.30573833,0.36718833,1,1.03,999999,17,0,0,0,0,0.01,100000,500
0.32642,0.302905,0.370675,1,1.03,999999,18,0,0,0,0,0.01,100000,500
0.32762334,0.30244333,0.36993334,1,1.03,999999,19,0,0,0,0,0.01,100000,500
0.328095,0.305415,0.36649,1,1.03,999999,20,0,0,0,0,0.01,100000,500
0.352385,0.325535,0.32208,1,1.04,999999,0,0,0,0,0,0.01,100000,500
0.35003334,0.32053334,0.32943332,1,1.04,999999,1,0,0,0,0,0.01,100000,500
0.34909168,0.31802666,0.33288166,1,1.04,999999,2,0,0,0,0,0.01,100000,500
0.34541667,0.31586668,0.33871666,1,1.04,999999,3,0,0,0,0,0.01,100000,500
0.34627333,0.31059834,0.34312832,1,1.04,999999,4,0,0,0,0,0.01,100000,500
0.33973333,0.31376833,0.34649834,1,1.04,999999,5,0,0,0,0,0.01,100000,500
0.343305,0.309465,0.34723,1,1.04,999999,6,0,0,0,0,0.01,100000,500
0.34006333,0.30628833,0.35364833,1,1.04,999999,7,0,0,0,0,0.01,100000,500
0.33774,0.308425,0.353835,1,1.04,999999,8,0,0,0,0,0.01,100000,500
0.339195,0.30636,0.354445,1,1.04,999999,9,0,0,0,0,0.01,100000,500
