P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33228335,0.33323333,0.33448333,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.3308,0.34,0.3292,1,1.01,999999,0,2,0,0,0,0.01,10000,500
0.33213332,0.34958333,0.31828332,1,1.01,999999,0,4,0,0,0,0.01,10000,500
0.32368332,0.35738334,0.31893334,1,1.01,999999,0,6,0,0,0,0.01,10000,500
0.31325,0.36975,0.317,1,1.01,999999,0,8,0,0,0,0.01,10000,500
0.32178333,0.36103332,0.31718335,1,1.01,999999,0,10,0,0,0,0.01,10000,500
0.31981668,0.36106667,0.31911665,1,1.01,999999,0,12,0,0,0,0.01,10000,500
0.31828332,0.37008333,0.31163332,1,1.01,999999,0,14,0,0,0,0.01,10000,500
0.31365,0.37055,0.3158,1,1.01,999999,0,16,0,0,0,0.01,10000,500
0.3152,0.37255,0.31225,1,1.01,999999,0,18,0,0,0,0.01,10000,500
0.32191667,0.36981666,0.30826667,1,1.01,999999,0,20,0,0,0,0.01,10000,500
0.34411666,0.32151666,0.33436668,1,1.01,999999,2,0,0,0,0,0.01,10000,500
0.3246,0.3409,0.3345,1,1.01,999999,2,2,0,0,0,0.01,10000,500
0.31975,0.3449,0.33535,1,1.01,999999,2,4,0,0,0,0.01,10000,500
0.3353,0.34185,0.32285,1,1.01,999999,2,6,0,0,0,0.01,10000,500
0.31685,0.35625,0.3269,1,1.01,999999,2,8,0,0,0,0.01,10000,500
0.32726666,0.35431665,0.31841666,1,1.01,999999,2,10,0,0,0,0.01,10000,500
0.31925,0.36275,0.318,1,1.01,999999,2,12,0,0,0,0.01,10000,500
0.31906667,0.36526668,0.31566668,1,1.01,999999,2,14,0,0,0,0.01,10000,500
0.3195,0.3702,0.3103,1,1.01,999999,2,16,0,0,0,0.01,10000,500
0.3226,0.3605,0.3169,1,1.01,999999,2,18,0,0,0,0.01,10000,500
