AB.CD,AC.BD,AD.BC,undetermined,f.one,ρ,sequence-length-k,m
16659,16153,16264,924,0.01,0,500,50000
16669,16328,16185,818,0.01,1,500,50000
16503,16240,16383,874,0.01,2,500,50000
16629,16133,16355,883,0.01,3,500,50000
16669,16195,16240,896,0.01,4,500,50000
16676,16219,16189,916,0.01,5,500,50000
16797,16305,16023,875,0.01,6,500,50000
16700,16289,16138,873,0.01,7,500,50000
16677,16024,16414,885,0.01,8,500,50000
16698,16067,16290,945,0.01,9,500,50000
16608,16313,16130,949,0.01,10,500,50000
16713,16180,16090,1017,0.01,11,500,50000
16708,16078,16255,959,0.01,12,500,50000
16878,16076,16077,969,0.01,13,500,50000
16817,16040,16155,988,0.01,14,500,50000
16489,16342,16144,1025,0.01,15,500,50000
16708,16025,16181,1086,0.01,16,500,50000
16690,16108,16060,1142,0.01,17,500,50000
16804,16029,16064,1103,0.01,18,500,50000
16562,16148,16220,1070,0.01,19,500,50000
16544,16246,16110,1100,0.01,20,500,50000
