AB.CD,AC.BD,AD.BC,undetermined,f,ρ,k,m
17011,16018,16096,875,0.01,0,500,50000
16929,16208,16009,854,0.01,1,500,50000
17101,16147,15832,920,0.01,2,500,50000
16932,15971,16207,890,0.01,3,500,50000
16847,16187,16078,888,0.01,4,500,50000
17121,16068,15904,907,0.01,5,500,50000
17009,16025,15958,1008,0.01,6,500,50000
17088,15976,15955,981,0.01,7,500,50000
17181,15962,15917,940,0.01,8,500,50000
17064,15815,16130,991,0.01,9,500,50000
16963,16046,16017,974,0.01,10,500,50000
16880,15977,16124,1019,0.01,11,500,50000
17134,15876,15958,1032,0.01,12,500,50000
17030,16026,15938,1006,0.01,13,500,50000
17001,15899,16045,1055,0.01,14,500,50000
16933,15913,16097,1057,0.01,15,500,50000
17013,15992,15903,1092,0.01,16,500,50000
17024,15855,16035,1086,0.01,17,500,50000
17131,15792,16024,1053,0.01,18,500,50000
17188,15987,15781,1044,0.01,19,500,50000
17103,15804,15976,1117,0.01,20,500,50000
